"winename","region","country","vintage","searchrank","rating_100","price","_id","_vintageId"
"Chateau Margaux","Margaux","France","1900",4,100,"18532",1720306,10537694
"Chateau Pavie","Saint-Emilion Grand Cru","France","2015",40,100,"389",1179539,14728001
"Vega Sicilia Unico Gran Reserva","Ribera del Duero","Spain","1958",51,100,"1306",77136,15469849
"Salon Cuvee 'S' Le Mesnil Blanc de Blancs Brut","Champagne","France","1964",56,100,"4927",,
"Chateau Lafleur","Pomerol","France","2018",79,100,"1412",1099307,157043824
"Domaine de Montille Les Malconsorts Cuvee Christiane","Vosne-Romanee Premier Cru","France","2005",1830,100,"1458",3183806,23729873
"Oremus Eszencia","Tokaj-Hegyalja","Hungary","1995",5702,100,"756",,
"Weingut Donnhoff Niederhauser Hermannshohle Riesling Trockenbeerenauslese","Nahe","Germany","2010",24146,100,"1006",1152843,1305271
"Seven of Hearts 'Curmudgeon Cuvee' Armstrong Vineyard Pinot Noir","Ribbon Ridge","USA","2012",30155,100,"59",,
"Joh. Jos. Prum Bernkasteler Johannisbrunnchen Riesling Eiswein","Mosel","Germany","1990",76623,100,"938",,
"Chateau Margaux","Margaux","France","2015",4,99,"1772",1720306,14174579
"Chateau Haut-Brion","Pessac-Leognan","France","2016",9,99,"752",1152755,89705881
"Chateau Haut-Brion","Pessac-Leognan","France","2015",9,99,"671",1152755,14148802
"Chateau Leoville-Las Cases 'Grand Vin de Leoville'","Saint-Julien","France","2016",22,99,"331",,
"Chateau Lafleur","Pomerol","France","2017",79,99,"917",1099307,150337191
"Chateau Lafleur","Pomerol","France","2016",79,99,"1314",1099307,125958835
"Chateau Lafleur","Pomerol","France","1947",79,99,"2562",1099307,4372018
"Chateau Ausone","Saint-Emilion Grand Cru","France","2015",84,99,"981",1152417,14705073
"Paul Jaboulet Aine Hermitage La Chapelle","Rhone","France","1961",88,99,"19111",10922,88796
"Chateau L'Eglise-Clinet","Pomerol","France","2015",154,99,"300",1099373,14587076
"Domaine du Comte Liger-Belair La Romanee Grand Cru","Cote de Nuits","France","2009",257,99,"6636",2273709,4624910
"Fonseca Vintage Port","NA","Portugal","1948",258,99,"1564",,
"Pol Roger Vintage Brut","Champagne","France","1959",292,99,"913",11781,9301674
"Quinta do Noval Vintage Port","NA","Portugal","1931",375,99,"5150",,
"Schrader Cellars 'Old Sparky' Beckstoffer To Kalon Vineyard Cabernet Sauvignon","Napa Valley","USA","2013",839,99,"673",1144145,9010514
"Domaine Marc Sorrel Hermitage Le Greal","Rhone","France","2017",1427,99,"297",779159,156841354
"MacDonald Vineyards Cabernet Sauvignon","Oakville","USA","2016",1684,99,"525",6009665,159711107
"Clos Saint-Jean Chateauneuf-du-Pape Sanctus Sanctorum","Rhone","France","2010",3086,99,"645",3151802,17238980
"Penfolds Bin 60A Coonawarra Cabernet Sauvignon - Barossa Shiraz","NA","South Australia","1962",3506,99,"8679",,
"A.R. Valdespino Toneles Moscatel Sherry","Andalucia","Spain","NA",6958,99,"354",,
"Hors Categorie","Walla Walla Valley","USA","2014",8596,99,"417",,
"Carter Cellars Beckstoffer To Kalon Vineyard The G.T.O Cabernet Sauvignon","Napa Valley","USA","2015",8994,99,"NA",1562648,153102712
"Carter Cellars 'La Verdad' Beckstoffer Las Piedras Vineyard Cabernet Sauvignon","Napa Valley","USA","2015",16458,99,"363",6803639,159448570
"Sine Qua Non 'M' Syrah","Sta Rita Hills","USA","2015",18375,99,"508",4007930,141782250
"Smith-Madrone Cook's Flat Reserve","Spring Mountain District","USA","2013",50408,99,"219",,
"Chateau Mouton Rothschild","Pauillac","France","2016",2,98,"770",1684223,84933340
"Chateau Lafite Rothschild","Pauillac","France","2018",3,98,"757",3908,156099353
"Chateau Margaux","Margaux","France","2009",4,98,"1187",1720306,2773791
"Petrus","Pomerol","France","2016",5,98,"4394",1166837,87613428
"Petrus","Pomerol","France","1989",5,98,"4719",1166837,1697312
"Petrus","Pomerol","France","1962",5,98,"4620",1166837,3342566
"Petrus","Pomerol","France","1928",5,98,"3140",1166837,2685000
"Chateau Latour","Pauillac","France","2016",6,98,"998",1224338,90801852
"Chateau Latour","Pauillac","France","2010",6,98,"1665",1224338,2618952
"Chateau Latour","Pauillac","France","2009",6,98,"1830",1224338,2178573
"Chateau Haut-Brion","Pessac-Leognan","France","1989",9,98,"2380",1152755,1510217
"Chateau Haut-Brion","Pessac-Leognan","France","1929",9,98,"3212",1152755,7271987
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru","Cote de Nuits","France","2010",10,98,"22174",,
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru","Cote de Nuits","France","2006",10,98,"21396",,
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru","Cote de Nuits","France","2002",10,98,"20981",,
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru","Cote de Nuits","France","1990",10,98,"26912",,
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru","Cote de Nuits","France","1978",10,98,"19938",,
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru","Cote de Nuits","France","1971",10,98,"17039",,
"Chateau d'Yquem","Sauternes","France","2015",12,98,"402",1153863,14207721
"Chateau d'Yquem","Sauternes","France","2001",12,98,"682",1153863,1195048
"Chateau d'Yquem","Sauternes","France","1937",12,98,"5802",1153863,3932198
"Chateau Cheval Blanc","Saint-Emilion Grand Cru","France","2015",15,98,"840",1148747,14181518
"Chateau Cheval Blanc","Saint-Emilion Grand Cru","France","1929",15,98,"3500",1148747,4321076
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole","Cote de Nuits","France","2010",18,98,"5243",83911,1805495
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole","Cote de Nuits","France","2005",18,98,"6322",83911,1770420
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole","Cote de Nuits","France","1999",18,98,"6982",83911,1576106
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole","Cote de Nuits","France","1962",18,98,"14784",83911,1530117
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole","Cote de Nuits","France","1943",18,98,"3916",83911,2563661
"Chateau Montrose","Saint-Estephe","France","2016",21,98,"234",,
"Chateau Leoville-Las Cases 'Grand Vin de Leoville'","Saint-Julien","France","2018",22,98,"272",,
"Chateau Palmer","Margaux","France","2016",24,98,"398",9220,86368541
"Masseto Toscana IGT","Tuscany","Italy","2015",35,98,"876",,
"Screaming Eagle Cabernet Sauvignon","Napa Valley","USA","2007",47,98,"4164",,
"Vega Sicilia Unico Gran Reserva","Ribera del Duero","Spain","1948",51,98,"1049",77136,9026843
"Chateau Calon-Segur","Saint-Estephe","France","2018",55,98,"144",,
"Chateau Calon-Segur","Saint-Estephe","France","1943",55,98,"575",,
"Vieux Chateau Certan","Pomerol","France","2010",63,98,"352",81849,2072535
"Chateau Rauzan-Segla","Margaux","France","2018",66,98,"135",3110,156274687
"Chateau Lafleur","Pomerol","France","2012",79,98,"567",1099307,6827882
"Chateau Lafleur","Pomerol","France","2000",79,98,"1892",1099307,1304860
"Chateau Canon","Saint-Emilion Grand Cru","France","2018",83,98,"143",1145360,156192440
"Chateau Ausone","Saint-Emilion Grand Cru","France","2016",84,98,"925",1152417,108965473
"Chateau Ausone","Saint-Emilion Grand Cru","France","2005",84,98,"1512",1152417,1680779
"Le Pin","Pomerol","France","1990",91,98,"4620",1197490,1623268
"Taylor Fladgate Vintage Port","NA","Portugal","1927",107,98,"1679",,
"Domaine de Chevalier","Pessac-Leognan","France","2018",114,98,"79",1154913,156232206
"Krug Clos du Mesnil Blanc de Blancs Brut","Champagne","France","1979",157,98,"4364",79635,3122645
"Domaine de la Romanee-Conti Montrachet Grand Cru","Cote de Beaune","France","1986",158,98,"10152",83919,4633163
"Chateau Les Carmes Haut-Brion","Pessac-Leognan","France","2018",248,98,"144",1379887,156343209
"Domaine du Comte Liger-Belair La Romanee Grand Cru","Cote de Nuits","France","2012",257,98,"6424",2273709,8382871
"Coche-Dury Corton-Charlemagne Grand Cru","Cote de Beaune","France","2010",267,98,"5890",,
"E. Guigal Cote Rotie La Landonne","Rhone","France","2015",269,98,"418",36404,27162477
"Tua Rita Redigaffi Toscana IGT","Tuscany","Italy","2000",322,98,"658",75816,2437223
"Vietti Rocche di Castiglione","Barolo DOCG","Italy","2016",379,98,"280",77449,150700753
"Quinta do Noval Nacional Vintage Port","NA","Portugal","2011",404,98,"1817",,
"Quinta do Noval Nacional Vintage Port","NA","Portugal","1963",404,98,"4941",,
"Clarendon Hills Astralis Shiraz","McLaren Vale","Australia","2000",420,98,"207",80363,2360078
"Don Julio 1942 Tequila Anejo","Jalisco","Mexico","NA",453,98,"156",,
"Weingut Keller G-Max Riesling Trocken","Rheinhessen","Germany","2015",457,98,"2283",1223579,77503699
"Weingut Keller G-Max Riesling Trocken","Rheinhessen","Germany","2004",457,98,"5374",1223579,22133462
"Domaine du Pegau Chateauneuf-du-Pape Cuvee da Capo","Rhone","France","2016",463,98,"364",36044,147307984
"Domaine Leroy Richebourg Grand Cru","Cote de Nuits","France","1993",483,98,"NA",,
"Henri Bonneau Chateauneuf-du-Pape Reserve des Celestins","Rhone","France","1990",548,98,"2899",1099912,1942867
"Henri Jayer Cros Parantoux","Vosne-Romanee Premier Cru","France","2001",553,98,"16384",1823657,4297420
"Bollinger Vieilles Vignes Francaises Blanc de Noirs","Champagne","France","1996",591,98,"1606",,
