"pos","Wine","Vintage","GWS","CI","NBJ","_id","_vintageId"
97,"Chateau Ausone, Saint Emilion Grand Cru",2015,98.84,"A+",19,1152417,14705073
9,"Chateau D'Yquem, Blanc, Sauternes",1811,100,"A",3,1153863,7865524
12,"Chateau D'Yquem, Blanc, Sauternes",1847,100,"A+",3,1153863,6549226
82,"Chateau D'Yquem, Blanc, Sauternes",1945,98.96,"B",5,1153863,3595824
96,"Chateau D'Yquem, Blanc, Sauternes",2015,98.84,"A+",20,1153863,14207721
34,"Chateau De Beaucastel, Grand Cuvee Hommage A Jacques Perrin, Chateauneuf Du Pape",2016,99.57,"A+",6,2080162,93485686
76,"Chateau De Beaucastel, Grand Cuvee Hommage A Jacques Perrin, Chateauneuf Du Pape",2007,99.02,"A",9,2080162,3925832
94,"Chateau De Beaucastel, Grand Cuvee Hommage A Jacques Perrin, Chateauneuf Du Pape",1989,98.84,"A",7,2080162,4014173
27,"Chateau Haut Brion, Pessac Leognan",1989,99.64,"A+",11,1152755,1510217
59,"Chateau Haut Brion, Pessac Leognan",2016,99.17,"A+",20,1152755,89705881
50,"Chateau La Mission Haut Brion, Pessac Leognan",1955,99.37,"A+",4,1605285,1576079
5,"Chateau Lafite Rothschild, Pauillac",1953,100,"B",3,3908,1330609
93,"Chateau Lafite Rothschild, Pauillac",1959,98.84,"A+",7,3908,1269964
7,"Chateau Lafleur, Pomerol",1950,100,"A+",4,1099307,1581916
78,"Chateau Lafleur, Pomerol",1982,99,"B",9,1099307,1918183
39,"Chateau Latour, Pauillac",2010,99.49,"A+",17,1224338,2618952
46,"Chateau Latour, Pauillac",2016,99.41,"A+",18,1224338,90801852
75,"Chateau Latour, Pauillac",1961,99.03,"A+",7,1224338,3565049
86,"Chateau Latour, Pauillac",1982,98.92,"B+",10,1224338,1856281
67,"Chateau Leoville Las Cases, Grand Vin De Leoville, Saint Julien",2016,99.07,"A+",20,,
31,"Chateau Margaux, Margaux",2015,99.62,"A+",20,1720306,14174579
53,"Chateau Margaux, Margaux",2000,99.3,"A+",11,1720306,3708326
92,"Chateau Margaux, Margaux",2009,98.85,"A",18,1720306,2773791
38,"Chateau Mouton Rothschild, Pauillac",2016,99.5,"A+",20,1684223,84933340
40,"Chateau Mouton Rothschild, Pauillac",1945,99.49,"B",6,1684223,3662574
58,"Chateau Rayas, Reserve, Chateauneuf Du Pape",1990,99.17,"A",5,87554,12935280
95,"Clos Saint Jean, Sanctus Sanctorum, Chateauneuf Du Pape",2010,98.84,"A",4,3151802,17238980
16,"Coche Dury, Blanc, Corton Charlemagne Grand Cru",2014,99.97,"A+",3,1266116,7387376
69,"Domaine Armand Rousseau Pere Et Fils, Chambertin Grand Cru",2005,99.05,"B",4,,
63,"Domaine De La Janasse, Vieilles Vignes, Chateauneuf Du Pape",2007,99.13,"A",3,75855,86049
26,"Domaine De La Romanee Conti, Blanc, Montrachet Grand Cru",2014,99.65,"C+",3,83919,4492471
14,"Domaine De La Romanee Conti, La Tache Grand Cru",1999,100,"B",3,83911,1576106
24,"Domaine De La Romanee Conti, La Tache Grand Cru",1990,99.7,"A",5,83911,1382345
25,"Domaine De La Romanee Conti, La Tache Grand Cru",2015,99.66,"A+",6,83911,14163218
81,"Domaine De La Romanee Conti, Richebourg Grand Cru",2015,98.96,"A",6,83913,15784918
1,"Domaine De La Romanee Conti, Romanee Conti Grand Cru",2005,100,"A+",4,83912,1173142
10,"Domaine De La Romanee Conti, Romanee Conti Grand Cru",1999,100,"A+",3,83912,1406776
11,"Domaine De La Romanee Conti, Romanee Conti Grand Cru",2015,100,"A+",6,83912,14170698
